distance,fuel_consumption,CO2_emissions,engine_efficiency,fuel_type_hfo,weather_ordinal,ship_type_Fishing Trawler,ship_type_Oil Service Boat,ship_type_Surfer Boat,ship_type_Tanker Ship,route_Escravos-Lagos,route_Lagos-Apapa,route_Port Harcourt-Lagos,route_Warri-Bonny,month_sin,month_cos,fuel_rate,co2_intensity,distance_squared,efficiency_reciprocal,distance_x_weather,distance_x_efficiency,weather_x_fuel_type,efficiency_deviation
60.34,1905.53,5705.65,84.82,1,0,False,True,False,False,False,False,True,False,1.0,6.123233995736766e-17,31.579880676168376,2.9942588151327976,3640.9156000000003,1.1789672247111531,0.0,51.180388,0,1.1656401384082926
37.91,531.28,1498.87,93.45,0,2,False,False,True,False,True,False,False,False,0.8660254037844386,0.5000000000000001,14.014244262727512,2.8212430356873965,1437.1680999999996,1.0700909577314073,75.82,35.426894999999995,0,10.892255319148944
448.32,18754.7,53733.29,86.66,1,0,False,False,False,True,True,False,False,False,0.4999999999999999,0.8660254037844387,41.83328872234119,2.865057292305395,200990.8224,1.1539349180706209,0.0,388.51411199999995,0,4.3023809523809575
86.77,1132.71,2863.17,70.81,0,1,False,False,True,False,False,False,False,True,1.0,6.123233995736766e-17,13.05416618646998,2.527716714781365,7529.032899999999,1.4122299110295156,86.77,61.441837,0,-11.747744680851056
115.57,3509.64,10440.23,88.01,0,2,False,False,False,True,False,False,True,False,0.4999999999999999,-0.8660254037844387,30.368088604309076,2.974729601896491,13356.424899999998,1.1362345188046812,231.14,101.71315700000001,0,5.652380952380966
91.87,2250.57,6657.04,70.14,0,1,True,False,False,False,False,False,True,False,0.4999999999999999,-0.8660254037844387,24.49733318820072,2.9579351008855532,8440.0969,1.42571998859424,91.87,64.437618,0,-11.897203791469181
73.53,2550.0,6745.12,80.77,0,2,False,True,False,False,False,False,False,True,-1.0,-1.8369701987210294e-16,34.6797225622195,2.6451450980392157,5406.6609,1.238083446824316,147.06,59.390181,0,-2.8843598615917045
65.15,843.1,2134.62,89.9,0,2,False,False,True,False,False,True,False,False,-0.5000000000000004,0.8660254037844384,12.94090560245587,2.531870477997865,4244.522500000001,1.1123470522803114,130.3,58.56985000000001,0,7.342255319148947
123.37,3651.09,10789.23,73.17,0,0,False,True,False,False,False,True,False,False,-1.0,-1.8369701987210294e-16,29.594634027721487,2.955070951414509,15220.156900000002,1.3666803334700013,0.0,90.269829,0,-10.484359861591699
85.55,4033.13,10949.78,78.25,0,1,False,False,False,True,True,False,False,False,0.8660254037844387,-0.4999999999999998,47.143541788427825,2.714958357404795,7318.8025,1.2779552715654952,85.55,66.942875,0,-4.107619047619039
478.32,20529.1976,56474.14,84.38,1,0,False,False,False,True,False,True,False,False,1.2246467991473532e-16,-1.0,42.91937949489881,2.7509180388034262,228790.0224,1.1851149561507466,0.0,403.60641599999997,0,2.0223809523809564
475.63,20529.1976,56342.15,78.67,1,0,False,False,False,True,True,False,False,False,-1.0,-1.8369701987210294e-16,43.16211677143998,2.7444886594106337,226223.8969,1.271132579128003,0.0,374.17812100000003,0,-3.6876190476190374
