method,n_train,n_test,rmse,mae,r2,max_error,train_time,predict_time,noise_snr,normalized,config_kernel,config_smoothing,config_kx,config_ky,config_kernel_type,config_alpha,config_n_restarts_optimizer
rbf,20,5,4.392851509446493,2.2335119383421835,0.9513085790627842,9.792273460908199,0.00011539459228515625,2.5510787963867188e-05,,True,thin_plate_spline,0.0,,,,,
spline,20,5,233.84530288495543,107.07827541625036,-136.98017900645252,522.8485503567213,0.0001647472381591797,1.3589859008789062e-05,,True,,0.0,3.0,3.0,,,
kriging,20,5,18.26614192250629,8.51784549153783,0.15811444587689716,40.83251520839585,0.1456458568572998,0.00020170211791992188,,True,,,,,rbf,1e-06,5.0
rbf,20,5,1.9064681499904028,1.3986072971260415,0.7859026416345627,3.758854869939041,0.0002655982971191406,2.5510787963867188e-05,,True,thin_plate_spline,0.0,,,,,
spline,20,5,36.14900596275576,19.415402548253425,-75.97415307828435,79.52193275316755,0.00012040138244628906,1.7642974853515625e-05,,True,,0.0,3.0,3.0,,,
kriging,20,5,1.9044377431227486,1.32259141406109,0.7863584302764148,3.806127165546977,0.14927387237548828,0.00018095970153808594,,True,,,,,rbf,1e-06,5.0
rbf,20,5,13.329161413913557,10.10395616525721,0.3242876559555483,21.542479633947856,9.1552734375e-05,2.2649765014648438e-05,,True,thin_plate_spline,0.0,,,,,
spline,20,5,224.98395592177766,122.99170294576564,-191.51266045775233,489.55662358230364,0.00011014938354492188,1.430511474609375e-05,,True,,0.0,3.0,3.0,,,
kriging,20,5,22.265838615509054,15.427732688749813,-0.8855337576886895,42.8743603390363,0.14658045768737793,0.0001595020294189453,,True,,,,,rbf,1e-06,5.0
rbf,20,5,0.9092145186081642,0.7035727837094878,0.9653016965718869,1.4078243648697253,8.988380432128906e-05,2.2649765014648438e-05,,True,thin_plate_spline,0.0,,,,,
spline,20,5,2.022451070545213,1.679402950194477,0.8283153120995828,3.7197496532094236,0.00011038780212402344,1.3589859008789062e-05,,True,,0.0,3.0,3.0,,,
kriging,20,5,1.859267993535625,1.6099960388332373,0.8549026426439057,2.5119426175921564,0.12092185020446777,0.00015974044799804688,,True,,,,,rbf,1e-06,5.0
rbf,20,5,1.5398479820665145,1.1358623769073362,0.9815052549621792,2.3560758882109702,9.369850158691406e-05,2.3126602172851562e-05,,True,thin_plate_spline,0.0,,,,,
spline,20,5,1.8168294668197702,1.5683742500391307,0.9742533350036858,2.427417568336274,0.00010967254638671875,1.3828277587890625e-05,,True,,0.0,3.0,3.0,,,
kriging,20,5,1.6686946638815034,1.2945105843956235,0.9782806708719715,2.9973871164867454,0.1336042881011963,0.0001544952392578125,,True,,,,,rbf,1e-06,5.0
rbf,30,7,14.046968619227156,9.636649801255663,0.5912769865905682,29.952620365119003,9.799003601074219e-05,2.3603439331054688e-05,,True,thin_plate_spline,0.0,,,,,
spline,30,7,34.03482571682585,20.82617333564293,-1.3994457170467607,80.7609613314423,0.00011777877807617188,1.430511474609375e-05,,True,,0.0,3.0,3.0,,,
kriging,30,7,18.046275140759874,12.486095992085426,0.3254113712179232,40.4104749614212,0.1674964427947998,0.0001742839813232422,,True,,,,,rbf,1e-06,5.0
rbf,30,7,2.882691319872036,1.3258032878936123,0.9781325110867061,7.576592070696179,0.00010275840759277344,2.5510787963867188e-05,,True,thin_plate_spline,0.0,,,,,
spline,30,7,85.19469928378169,33.474367502582375,-18.099754402611918,225.37046300823974,0.00012373924255371094,1.52587890625e-05,,True,,0.0,3.0,3.0,,,
kriging,30,7,11.314776751495122,4.524134841136716,0.6631049630565258,29.91803063711979,0.14833569526672363,0.00015997886657714844,,True,,,,,rbf,1e-06,5.0
rbf,30,7,7.125700301871588,3.9554457294680825,0.8928566076721713,17.871246884302316,9.584426879882812e-05,2.2649765014648438e-05,,True,thin_plate_spline,0.0,,,,,
spline,30,7,139.27541000041973,67.4245647400401,-39.9316431214103,361.1098488104586,0.00011420249938964844,1.4066696166992188e-05,,True,,0.0,3.0,3.0,,,
kriging,30,7,7.485009829900381,3.4136734980280496,0.8817788886305525,19.636681036274766,0.15199065208435059,0.00017571449279785156,,True,,,,,rbf,1e-06,5.0
rbf,30,7,3.5233700848958547,2.0843538868373708,0.9714440897779103,8.607863579515726,0.00010466575622558594,2.5033950805664062e-05,,True,thin_plate_spline,0.0,,,,,
spline,30,7,3.3489043612239398,2.4104402370386375,0.9742020633077756,7.2795585654962345,0.000118255615234375,1.430511474609375e-05,,True,,0.0,3.0,3.0,,,
kriging,30,7,3.096177729369807,1.8624644982818257,0.9779488497957303,6.978932728042505,0.15034174919128418,0.00016546249389648438,,True,,,,,rbf,1e-06,5.0
rbf,30,7,3.1235179819271157,1.8459529771699332,0.9678783236019405,6.971913208727713,0.00010347366333007812,2.4318695068359375e-05,,True,thin_plate_spline,0.0,,,,,
spline,30,7,1.9626416733778662,1.561663500226589,0.9873178696159484,4.150155301148805,0.00011515617370605469,1.4066696166992188e-05,,True,,0.0,3.0,3.0,,,
kriging,30,7,1.5557575932489054,0.963698693393186,0.9920311795743673,3.8422170254620056,0.13963818550109863,0.00016164779663085938,,True,,,,,rbf,1e-06,5.0
rbf,50,12,0.9158104141056542,0.5401458390735229,0.9954200682420614,2.0049756812991077,0.0001380443572998047,3.147125244140625e-05,,True,thin_plate_spline,0.0,,,,,
spline,50,12,6.140352516973178,2.7119631696055717,0.7941103758991053,19.407297298984204,0.00019931793212890625,1.6927719116210938e-05,,True,,0.0,3.0,3.0,,,
kriging,50,12,0.9201508593027461,0.6752158128398408,0.9953765525750536,2.3695772817188185,0.16309595108032227,0.00016808509826660156,,True,,,,,rbf,1e-06,5.0
rbf,50,12,2.652696942955437,1.2671377333929723,0.9837734593788,6.616118152109756,0.00012636184692382812,3.170967102050781e-05,,True,thin_plate_spline,0.0,,,,,
spline,50,12,3.9409486836045513,1.9924546871216817,0.9641860496546011,12.272625290868241,0.0002472400665283203,1.7881393432617188e-05,,True,,0.0,3.0,3.0,,,
kriging,50,12,3.0303670414186947,1.4584999669681171,0.9788241361817804,9.878474909070064,0.2365419864654541,0.00018143653869628906,,True,,,,,rbf,1e-06,5.0
rbf,50,12,4.241107763967786,2.1794117134473834,0.930779382746842,13.14074976305308,0.000133514404296875,3.170967102050781e-05,,True,thin_plate_spline,0.0,,,,,
spline,50,12,54.02288233386783,18.8375799472131,-10.231360201034976,184.46646641393383,0.00027823448181152344,1.7881393432617188e-05,,True,,0.0,3.0,3.0,,,
kriging,50,12,8.488727462714012,3.9601388074298876,0.7226922334491606,28.30958650988755,0.22765374183654785,0.0001704692840576172,,True,,,,,rbf,1e-06,5.0
rbf,50,12,1.7247434514820505,1.1759017412945034,0.9711377773046209,3.9104607880861337,0.00013065338134765625,3.123283386230469e-05,,True,thin_plate_spline,0.0,,,,,
spline,50,12,16.196223481994892,6.034501448575955,-1.5451201266110695,55.53736154949041,0.00025177001953125,1.6927719116210938e-05,,True,,0.0,3.0,3.0,,,
kriging,50,12,0.9480667478269265,0.6365871082443576,0.9912791544902105,2.563310481165095,0.2383418083190918,0.00019407272338867188,,True,,,,,rbf,1e-06,5.0
rbf,50,12,0.6402394104715945,0.34427928480936454,0.9948175990832515,2.086222956020279,0.00013875961303710938,3.314018249511719e-05,,True,thin_plate_spline,0.0,,,,,
spline,50,12,2.9399694771668754,1.64412889992008,0.8907222252783857,7.129742206974612,0.0002486705780029297,5.6743621826171875e-05,,True,,0.0,3.0,3.0,,,
kriging,50,12,0.49943315779590614,0.38640727601940855,0.9968464411220467,1.21823447269254,0.14478111267089844,0.00015115737915039062,,True,,,,,rbf,1e-06,5.0
