distance,fuel_consumption,CO2_emissions,engine_efficiency,fuel_type_hfo,weather_ordinal,ship_type_Fishing Trawler,ship_type_Oil Service Boat,ship_type_Surfer Boat,ship_type_Tanker Ship,route_Escravos-Lagos,route_Lagos-Apapa,route_Port Harcourt-Lagos,route_Warri-Bonny,month_sin,month_cos
60.34,1905.53,5705.65,84.82,1,0,False,True,False,False,False,False,True,False,1.0,6.123233995736766e-17
37.91,531.28,1498.87,93.45,0,2,False,False,True,False,True,False,False,False,0.8660254037844386,0.5000000000000001
448.32,18754.7,53733.29,86.66,1,0,False,False,False,True,True,False,False,False,0.49999999999999994,0.8660254037844387
86.77,1132.71,2863.17,70.81,0,1,False,False,True,False,False,False,False,True,1.0,6.123233995736766e-17
115.57,3509.64,10440.23,88.01,0,2,False,False,False,True,False,False,True,False,0.49999999999999994,-0.8660254037844387
91.87,2250.57,6657.04,70.14,0,1,True,False,False,False,False,False,True,False,0.49999999999999994,-0.8660254037844387
73.53,2550.0,6745.12,80.77,0,2,False,True,False,False,False,False,False,True,-1.0,-1.8369701987210297e-16
65.15,843.1,2134.62,89.9,0,2,False,False,True,False,False,True,False,False,-0.5000000000000004,0.8660254037844384
123.37,3651.09,10789.23,73.17,0,0,False,True,False,False,False,True,False,False,-1.0,-1.8369701987210297e-16
85.55,4033.13,10949.78,78.25,0,1,False,False,False,True,True,False,False,False,0.8660254037844387,-0.4999999999999998
478.32,20529.1976,56474.14,84.38,1,0,False,False,False,True,False,True,False,False,1.2246467991473532e-16,-1.0
475.63,20529.1976,56342.15,78.67,1,0,False,False,False,True,True,False,False,False,-1.0,-1.8369701987210297e-16
77.81,3197.24,8310.12,79.56,0,0,False,False,False,True,False,True,False,False,1.2246467991473532e-16,-1.0
67.04,2312.5,5941.35,87.78,1,2,False,True,False,False,False,False,False,True,0.8660254037844387,-0.4999999999999998
85.67,2941.9,7550.27,86.48,1,2,False,True,False,False,False,False,False,True,0.49999999999999994,-0.8660254037844387
34.56,504.65,1410.81,79.34,0,2,False,False,True,False,True,False,False,False,-0.4999999999999997,-0.8660254037844388
107.69,1296.57,3317.65,79.2,0,0,False,False,True,False,True,False,False,False,-0.4999999999999997,-0.8660254037844388
123.87,1285.91,3606.63,74.41,0,1,False,False,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388
345.89,15077.31,45076.05,70.75,0,2,False,False,False,True,True,False,False,False,0.49999999999999994,-0.8660254037844387
197.7,3234.04,8590.57,84.67,0,2,False,False,True,False,False,True,False,False,0.8660254037844386,0.5000000000000001
146.92,5121.13,15049.01,94.16,0,1,False,True,False,False,False,False,True,False,0.49999999999999994,0.8660254037844387
71.68,2393.51,6506.52,87.42,0,2,False,True,False,False,False,False,True,False,0.8660254037844387,-0.4999999999999998
199.96,4021.1,10911.15,87.14,0,1,True,False,False,False,False,False,True,False,0.8660254037844386,0.5000000000000001
109.14,1860.07,5489.9,75.85,0,0,False,False,True,False,False,False,False,True,0.8660254037844386,0.5000000000000001
124.49,3699.02,10719.74,82.55,1,1,False,True,False,False,False,False,True,False,1.2246467991473532e-16,-1.0
78.33,864.43,2489.25,75.51,0,1,False,False,True,False,False,False,True,False,-0.5000000000000004,0.8660254037844384
34.39,944.69,2598.62,80.47,0,2,False,True,False,False,True,False,False,False,0.8660254037844386,0.5000000000000001
87.18,1384.68,4079.34,88.56,0,2,False,False,True,False,False,False,True,False,-0.8660254037844384,-0.5000000000000004
401.31,19032.25,55048.07,74.27,0,2,False,False,False,True,False,False,True,False,0.8660254037844387,-0.4999999999999998
193.19,1944.93,4955.1,83.8,0,0,False,False,True,False,False,False,False,True,-0.4999999999999997,-0.8660254037844388
286.01,13420.92,40100.19,77.97,1,0,False,False,False,True,True,False,False,False,0.49999999999999994,0.8660254037844387
413.97,18037.62,49624.5,80.29,1,1,False,False,False,True,False,True,False,False,-0.8660254037844384,-0.5000000000000004
195.28,3310.69,9584.45,81.38,0,0,False,False,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388
63.33,1904.91,5015.38,75.03,1,2,False,True,False,False,True,False,False,False,1.2246467991473532e-16,-1.0
121.72,3831.8,10048.57,92.94,0,1,False,True,False,False,True,False,False,False,-0.8660254037844384,-0.5000000000000004
193.37,6895.02,19414.13,93.88,1,2,False,False,False,True,False,True,False,False,-0.4999999999999997,-0.8660254037844388
32.08,1007.7,2863.08,82.55,1,0,False,True,False,False,False,True,False,False,0.49999999999999994,-0.8660254037844387
69.74,1801.47,4846.78,86.93,0,1,False,True,False,False,True,False,False,False,1.2246467991473532e-16,-1.0
56.97,2726.68,6889.4,70.06,1,2,False,False,False,True,False,False,False,True,-2.4492935982947064e-16,1.0
310.7,12785.33,36784.5,85.76,1,0,False,False,False,True,False,True,False,False,-0.4999999999999997,-0.8660254037844388
126.22,4211.08,11335.36,85.1,0,0,False,True,False,False,True,False,False,False,-1.0,-1.8369701987210297e-16
363.68,12802.55,34976.27,86.87,0,2,False,False,False,True,False,False,True,False,1.0,6.123233995736766e-17
246.4,11651.89,29877.46,92.15,0,1,False,False,False,True,False,True,False,False,-0.4999999999999997,-0.8660254037844388
479.8144999999997,20529.1976,56741.81229999998,77.75,0,0,False,False,False,True,False,False,True,False,1.0,6.123233995736766e-17
72.27,2171.77,5810.14,84.36,1,2,False,True,False,False,True,False,False,False,-0.8660254037844386,0.5000000000000001
158.07,2584.62,7211.22,81.67,0,2,False,False,True,False,False,False,False,True,-0.4999999999999997,-0.8660254037844388
429.43,17125.78,42988.56,75.28,0,1,False,False,False,True,False,False,False,True,-0.8660254037844386,0.5000000000000001
178.42,4428.52,11684.43,72.05,0,0,True,False,False,False,False,False,True,False,0.49999999999999994,0.8660254037844387
295.22,14171.09,40731.23,81.96,0,1,False,False,False,True,True,False,False,False,1.2246467991473532e-16,-1.0
144.16,3420.34,8899.12,71.32,1,2,True,False,False,False,True,False,False,False,1.2246467991473532e-16,-1.0
78.78,1513.47,4513.23,90.52,0,1,False,False,True,False,False,False,True,False,-0.5000000000000004,0.8660254037844384
192.55,4607.86,11827.04,81.0,1,1,True,False,False,False,False,False,True,False,0.8660254037844387,-0.4999999999999998
70.3,1663.59,4460.98,74.38,0,2,True,False,False,False,False,False,True,False,-0.8660254037844384,-0.5000000000000004
58.81,1499.56,3904.85,91.68,0,2,False,True,False,False,False,False,True,False,-0.4999999999999997,-0.8660254037844388
114.25,2914.95,7814.65,91.73,1,0,False,True,False,False,True,False,False,False,0.8660254037844386,0.5000000000000001
185.85,6884.76,17508.55,90.1,1,2,False,False,False,True,False,False,True,False,-0.4999999999999997,-0.8660254037844388
155.75,3907.27,10136.14,76.48,0,1,True,False,False,False,False,False,False,True,0.8660254037844386,0.5000000000000001
453.14,20529.1976,56741.81229999998,70.12,1,2,False,False,False,True,False,False,True,False,0.49999999999999994,0.8660254037844387
183.15,3743.91,9542.8,80.83,0,0,True,False,False,False,False,False,True,False,1.2246467991473532e-16,-1.0
124.55,3221.29,9405.04,93.48,1,0,False,True,False,False,True,False,False,False,0.8660254037844387,-0.4999999999999998
67.77,2230.76,5777.21,83.25,1,1,False,True,False,False,True,False,False,False,0.8660254037844387,-0.4999999999999998
188.84,2049.82,5911.82,80.93,0,2,False,False,True,False,False,False,False,True,0.49999999999999994,0.8660254037844387
82.64,2670.49,7601.85,86.02,0,1,False,True,False,False,True,False,False,False,-0.4999999999999997,-0.8660254037844388
81.6,2353.03,5982.03,76.18,0,0,True,False,False,False,False,True,False,False,-0.8660254037844384,-0.5000000000000004
200.04,6352.0,16584.34,83.03,1,1,False,False,False,True,False,True,False,False,-2.4492935982947064e-16,1.0
155.61,4035.01,10876.77,71.13,0,1,True,False,False,False,False,False,False,True,0.49999999999999994,-0.8660254037844387
160.89,4216.46,11326.37,78.4,1,1,True,False,False,False,False,False,False,True,0.49999999999999994,-0.8660254037844387
51.93,1013.32,2900.07,70.74,0,2,False,False,True,False,False,False,False,True,0.8660254037844386,0.5000000000000001
381.18,13264.76,36803.83,85.25,1,2,False,False,False,True,False,False,True,False,-2.4492935982947064e-16,1.0
413.22,14730.75,42563.58,91.25,1,1,False,False,False,True,True,False,False,False,-2.4492935982947064e-16,1.0
434.8,13682.6,39574.56,78.4,0,1,False,False,False,True,False,True,False,False,0.49999999999999994,0.8660254037844387
320.47,11490.16,31076.91,81.36,1,0,False,False,False,True,False,True,False,False,-0.4999999999999997,-0.8660254037844388
132.29,2716.79,7866.08,90.86,0,1,True,False,False,False,True,False,False,False,0.49999999999999994,0.8660254037844387
77.51,2841.99,7692.62,71.44,1,1,False,False,False,True,False,False,True,False,-0.8660254037844384,-0.5000000000000004
46.21,644.66,1764.81,74.71,0,0,False,False,True,False,False,False,True,False,-0.8660254037844384,-0.5000000000000004
58.95,734.45,1960.81,75.07,0,2,False,False,True,False,False,True,False,False,0.8660254037844386,0.5000000000000001
211.33,7371.42,19745.66,92.05,1,1,False,False,False,True,False,True,False,False,-2.4492935982947064e-16,1.0
44.58,1370.41,3749.05,76.26,1,1,False,True,False,False,True,False,False,False,-0.8660254037844386,0.5000000000000001
102.82,3252.44,8815.9,78.2,1,2,False,True,False,False,False,True,False,False,0.8660254037844387,-0.4999999999999998
133.48,4108.29,11145.18,80.55,1,2,False,True,False,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388
131.34,2094.87,5529.58,82.34,0,1,False,False,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388
66.88,1614.5,4210.33,73.91,0,0,True,False,False,False,False,True,False,False,-0.8660254037844386,0.5000000000000001
165.79,2852.27,7218.59,93.2,0,2,False,False,True,False,False,False,True,False,0.8660254037844386,0.5000000000000001
22.6155,665.79,1771.04,93.46,0,2,False,True,False,False,False,False,True,False,0.8660254037844386,0.5000000000000001
132.26,3779.77,10625.76,92.14,1,2,False,True,False,False,False,False,False,True,0.49999999999999994,0.8660254037844387
73.51,1332.75,3409.08,70.88,0,2,False,False,True,False,True,False,False,False,-0.8660254037844386,0.5000000000000001
195.05,6077.71,15658.75,78.62,1,2,False,False,False,True,False,True,False,False,-0.8660254037844386,0.5000000000000001
286.38,12557.11,35528.1,85.74,1,1,False,False,False,True,False,True,False,False,-0.8660254037844386,0.5000000000000001
183.82,6757.4,18471.1,92.11,0,0,False,False,False,True,True,False,False,False,0.49999999999999994,-0.8660254037844387
72.16,1503.64,3763.5,91.0,0,0,True,False,False,False,False,True,False,False,0.8660254037844387,-0.4999999999999998
132.24,1676.65,4388.44,87.5,0,1,False,False,True,False,True,False,False,False,1.0,6.123233995736766e-17
264.09,8174.05,23285.83,74.22,1,0,False,False,False,True,False,False,True,False,-1.0,-1.8369701987210297e-16
193.61,7705.56,21396.09,89.47,0,0,False,False,False,True,False,False,True,False,-1.0,-1.8369701987210297e-16
243.19,11846.75,32033.32,89.81,1,2,False,False,False,True,False,False,False,True,-0.8660254037844386,0.5000000000000001
479.8144999999997,16567.54,43762.71,89.88,1,2,False,False,False,True,False,False,False,True,-0.5000000000000004,0.8660254037844384
176.67,7258.74,19062.48,71.3,1,2,False,False,False,True,False,False,False,True,-0.8660254037844384,-0.5000000000000004
441.93,17429.33,51377.83,79.16,0,0,False,False,False,True,True,False,False,False,-0.5000000000000004,0.8660254037844384
181.58,4467.77,12027.63,89.95,1,0,True,False,False,False,True,False,False,False,1.2246467991473532e-16,-1.0
33.06,869.0,2242.6,94.67,0,1,False,True,False,False,False,False,True,False,-0.4999999999999997,-0.8660254037844388
333.5,14947.42,41718.84,91.78,1,0,False,False,False,True,False,True,False,False,-0.4999999999999997,-0.8660254037844388
172.74,4867.43,14170.83,79.14,1,1,True,False,False,False,False,True,False,False,-0.8660254037844384,-0.5000000000000004
134.09,3377.0,9590.71,78.91,0,2,False,True,False,False,True,False,False,False,-2.4492935982947064e-16,1.0
131.64,3580.38,10247.33,82.4,0,0,True,False,False,False,True,False,False,False,-0.8660254037844386,0.5000000000000001
129.52,1437.19,4194.45,88.26,0,0,False,False,True,False,False,True,False,False,-2.4492935982947064e-16,1.0
119.56,4142.67,11416.1,81.55,1,2,False,True,False,False,False,False,True,False,-2.4492935982947064e-16,1.0
366.05,14785.37,37002.93,71.11,0,0,False,False,False,True,False,False,True,False,1.2246467991473532e-16,-1.0
40.36,1159.76,2957.64,89.77,0,0,False,True,False,False,True,False,False,False,-2.4492935982947064e-16,1.0
479.8144999999997,20529.1976,56312.51,90.51,0,1,False,False,False,True,False,False,True,False,0.49999999999999994,-0.8660254037844387
417.58,13078.19,36009.0,79.37,0,1,False,False,False,True,True,False,False,False,0.49999999999999994,-0.8660254037844387
162.94,3842.62,9883.27,94.49,1,2,True,False,False,False,True,False,False,False,0.49999999999999994,-0.8660254037844387
